50       
5.6      12.389557
5.29     17.27671 
7.35     -10.114793
4.11     16.428033
4.26     18.382014
7.48     -6.97929 
4.61     19.462842
1.39     11.33561 
9.14     37.879016
8.11     16.165112
.02     1.530244
.87     5.646857
8.98     38.983863
9.33     37.694209
2.22     13.129928
5.63     12.586366
7.19     -13.276056
7.81     3.710385
2.56     11.779267
9.38     37.052866
.56     3.150681
.39     1.655963
.61     4.216839
3.71     11.879763
2.87     12.11883 
8.96     38.545917
6.03     -2.238128
2.9      10.134701
6.78     -15.975972
8.56     31.546337
6        -1.366439
7.78     3.605666
6.71     -15.491096
5        20.910543
9.98     18.715969
4.18     20.152867
6.44     -12.749068
5.62     9.298621
.17     -1.489399
3.91     14.708424
5.64     10.088494
2.29     15.418331
.05     -1.232896
8.32     24.104157
5.25     19.611059
4.24     19.627959
.96     7.267102
3.62     13.456313
1.69     15.397825
6.73     -16.234349
