50       
1.37     -14.245954
-1.11     14.080874
.52     -.11539 
2.62     -28.475094
3.95     -3.131946
-1.88     3.336641
3.7      -13.529278
1.58     -19.156647
.08     5.845743
2.3      -26.34387 
-.86     16.596133
-1.23     13.328645
-1.56     10.243209
1.54     -17.460447
-.32     11.36141 
-2.06     .273394
-1.71     7.503502
3.47     -17.837283
1.61     -19.602636
1.57     -17.74089 
2.04     -24.136539
4.01     .613732
-1.4      13.139984
4.14     4.515621
-2.04     -.104251
.55     -1.040312
2.95     -27.023679
-.59     13.328023
.45     .351082
3.7      -11.202265
.89     -8.546732
1.44     -16.135826
.57     -1.780153
3.56     -15.495402
-.95     15.128825
3.1      -22.346422
2.17     -27.276994
-1.12     13.1894  
-1.49     9.367284
.99     -9.766491
-.29     11.485731
.34     4.737104
-.17     8.967794
-1.58     9.692964
1.92     -22.04272 
-1.54     10.766605
-.33     11.97209 
2.56     -26.434564
2.02     -22.453394
1.96     -24.708025
